tier,n_trials,mean_RT,sd_RT,mean_acc
Easy (0–60°),305,4796.49,4310.66,0.95
Medium (61–120°),299,6988.35,5016.98,0.79
Hard (121–180°),259,5896.02,4377.89,0.9
