comparison,n,rho,p,significant_bonf
Telpiskais pašvērtējums (1–5),34,0.502,0.00248,sig
3D spēļu biežums (1–4),34,0.1902,0.28129,n.s.
3D modelēšanas pieredze (1–4),34,0.0819,0.6453,n.s.
